"gram2" "gram3" "target" "newsFreq" "blogFreq" "twitterFreq"
"257" "he" "has" "a" 8 3 6
"258" "he" "is" "a" 8 8 8
"259" "i" "need" "to" 8 36 61
"260" "i" "think" "the" 8 14 7
"261" "in" "a" "row" 8 9 10
"262" "in" "one" "of" 8 7 2
"263" "in" "the" "earli" 8 5 2
"264" "in" "the" "end" 8 23 4
"265" "in" "the" "summer" 8 2 5
"266" "it" "hard" "to" 8 13 2
"267" "it" "look" "like" 8 18 13
"268" "less" "than" "a" 8 7 3
"269" "look" "for" "the" 8 4 10
"270" "lot" "of" "peopl" 8 5 10
"271" "of" "one" "of" 8 7 4
"272" "on" "the" "first" 8 5 4
"273" "on" "the" "floor" 8 14 6
"274" "one" "of" "those" 8 32 13
"275" "she" "was" "a" 8 10 2
"276" "the" "amount" "of" 8 8 4
"277" "the" "back" "of" 8 23 2
"278" "the" "onli" "one" 8 10 18
"279" "the" "other" "hand" 8 14 3
"280" "the" "qualiti" "of" 8 8 5
"281" "the" "same" "thing" 8 12 9
"282" "them" "in" "the" 8 7 5
"283" "time" "of" "the" 8 6 2
"284" "to" "be" "more" 8 11 5
"285" "to" "build" "a" 8 5 2
"286" "to" "get" "a" 8 24 24
"287" "to" "have" "to" 8 10 5
"288" "to" "keep" "the" 8 9 3
"289" "to" "make" "it" 8 19 14
"290" "to" "pay" "for" 8 6 6
"291" "to" "see" "a" 8 6 12
"292" "tri" "to" "get" 8 16 26
"293" "tri" "to" "make" 8 7 8
"294" "up" "with" "a" 8 9 5
"295" "was" "a" "littl" 8 19 6
"296" "was" "born" "in" 8 3 2
"297" "was" "the" "onli" 8 5 6
"298" "we" "want" "to" 8 16 10
"299" "you" "have" "a" 8 24 55
"300" "you" "want" "to" 8 37 33
"301" "a" "few" "day" 7 18 10
"302" "a" "few" "year" 7 14 4
"303" "a" "varieti" "of" 7 14 2
"304" "and" "a" "half" 7 10 6
"305" "and" "there" "are" 7 8 2
"306" "are" "tri" "to" 7 6 6
"307" "at" "this" "time" 7 4 3
"308" "be" "part" "of" 7 6 4
"309" "be" "the" "first" 7 3 4
"310" "close" "to" "the" 7 7 3
"311" "deal" "with" "the" 7 10 2
"312" "depend" "on" "the" 7 7 2
"313" "for" "a" "long" 7 6 3
"314" "for" "the" "year" 7 3 4
"315" "front" "of" "the" 7 10 7
"316" "go" "to" "do" 7 5 6
"317" "go" "to" "see" 7 2 7
"318" "has" "to" "be" 7 13 13
"319" "he" "had" "a" 7 4 4
"320" "i" "dont" "have" 7 27 27
"321" "in" "a" "small" 7 5 3
"322" "in" "the" "back" 7 13 3
"323" "in" "the" "fall" 7 4 3
"324" "in" "the" "leagu" 7 2 5
"325" "in" "the" "new" 7 11 5
"326" "interest" "in" "the" 7 2 3
"327" "is" "a" "littl" 7 7 4
"328" "it" "turn" "out" 7 10 4
"329" "live" "in" "the" 7 13 7
"330" "need" "to" "do" 7 13 8
"331" "on" "behalf" "of" 7 3 5
"332" "on" "the" "back" 7 10 2
"333" "on" "the" "front" 7 5 2
"334" "on" "the" "phone" 7 6 6
"335" "one" "of" "them" 7 16 9
"336" "out" "in" "the" 7 15 4
"337" "out" "on" "the" 7 5 7
"338" "out" "to" "be" 7 16 7
"339" "part" "of" "a" 7 17 5
"340" "realli" "want" "to" 7 11 11
"341" "take" "care" "of" 7 10 10
"342" "that" "it" "is" 7 25 8
"343" "that" "they" "are" 7 18 4
"344" "that" "was" "the" 7 4 3
"345" "the" "best" "in" 7 3 4
"346" "the" "last" "time" 7 6 3
"347" "the" "peopl" "who" 7 11 9
"348" "the" "same" "way" 7 7 7
"349" "the" "san" "francisco" 7 3 2
"350" "the" "valu" "of" 7 7 2
"351" "this" "is" "not" 7 17 2
"352" "to" "creat" "a" 7 13 4
"353" "to" "do" "so" 7 12 3
"354" "to" "focus" "on" 7 10 5
"355" "to" "have" "the" 7 5 5
"356" "to" "new" "york" 7 3 3
"357" "to" "talk" "about" 7 13 15
"358" "to" "use" "the" 7 11 3
"359" "turn" "out" "to" 7 14 6
"360" "two" "of" "the" 7 6 3
"361" "wait" "for" "the" 7 9 14
"362" "want" "to" "go" 7 24 21
"363" "want" "to" "have" 7 6 5
"364" "want" "to" "make" 7 16 2
"365" "went" "to" "the" 7 10 2
"366" "will" "be" "on" 7 5 11
"367" "you" "have" "the" 7 6 5
"368" "a" "bunch" "of" 6 13 11
"369" "a" "few" "hour" 6 9 7
"370" "a" "few" "minut" 6 12 4
"371" "a" "few" "week" 6 16 6
"372" "a" "look" "at" 6 7 2
"373" "a" "lot" "more" 6 11 8
"374" "a" "man" "who" 6 5 2
"375" "a" "sens" "of" 6 18 4
"376" "a" "trip" "to" 6 5 5
"377" "across" "the" "countri" 6 6 2
"378" "and" "all" "the" 6 14 8
"379" "and" "for" "the" 6 6 5
"380" "and" "it" "was" 6 34 9
"381" "and" "will" "be" 6 8 3
"382" "as" "it" "is" 6 16 4
"383" "away" "from" "the" 6 15 5
"384" "be" "a" "good" 6 12 13
"385" "begin" "of" "the" 6 7 5
"386" "but" "i" "dont" 6 15 19
"387" "but" "if" "you" 6 17 4
"388" "but" "it" "is" 6 15 6
