"gram1" "gram2" "gram3" "target" "newsFreq" "blogFreq" "twitterFreq"
"358" "have" "to" "deal" "with" 0 3 2
"359" "have" "to" "do" "is" 0 3 4
"360" "how" "do" "you" "know" 0 3 2
"361" "i" "am" "so" "happi" 0 3 2
"362" "i" "am" "work" "on" 0 3 3
"363" "i" "didnt" "even" "know" 0 3 3
"364" "i" "didnt" "have" "to" 0 3 2
"365" "i" "dont" "even" "know" 0 3 6
"366" "i" "dont" "think" "im" 0 3 2
"367" "i" "dont" "think" "it" 0 3 6
"368" "i" "dont" "think" "ive" 0 3 2
"369" "i" "dont" "think" "that" 0 3 6
"370" "but" "i" "do" "know" 0 2 2
"371" "i" "feel" "like" "im" 0 3 5
"372" "i" "havent" "had" "a" 0 3 2
"373" "i" "just" "dont" "know" 0 3 3
"374" "i" "love" "it" "when" 0 3 4
"375" "i" "need" "to" "start" 0 3 3
"376" "i" "realli" "want" "to" 0 3 5
"377" "i" "the" "onli" "one" 0 3 6
"378" "i" "think" "it" "was" 0 3 5
"379" "i" "want" "to" "get" 0 3 3
"380" "i" "want" "to" "see" 0 3 9
"381" "i" "want" "to" "talk" 0 3 2
"382" "id" "realli" "like" "to" 0 3 2
"383" "if" "i" "have" "to" 0 3 2
"384" "if" "you" "ask" "me" 0 3 3
"385" "if" "you" "dont" "like" 0 3 6
"386" "if" "you" "want" "more" 0 3 2
"387" "if" "you" "would" "like" 0 3 4
"388" "if" "youd" "like" "to" 0 3 2
"389" "im" "not" "sure" "what" 0 3 2
"390" "it" "been" "a" "while" 0 3 2
"391" "it" "has" "been" "a" 0 3 2
"392" "it" "has" "to" "be" 0 3 2
"393" "it" "was" "a" "great" 0 3 2
"394" "learn" "more" "about" "the" 0 3 2
"395" "make" "me" "want" "to" 0 3 9
"396" "need" "to" "go" "to" 0 3 2
"397" "of" "the" "thing" "i" 0 3 2
"398" "do" "you" "have" "a" 0 2 10
"399" "onli" "one" "of" "the" 0 3 2
"400" "peopl" "in" "the" "world" 0 3 5
"401" "dont" "think" "i" "have" 0 2 2
"402" "so" "i" "have" "to" 0 3 2
"403" "some" "of" "the" "thing" 0 3 2
"404" "the" "first" "day" "of" 0 3 2
"405" "the" "right" "side" "of" 0 3 2
"406" "the" "top" "of" "my" 0 3 4
"407" "there" "is" "onli" "one" 0 3 2
"408" "toward" "the" "end" "of" 0 3 2
"409" "what" "are" "some" "of" 0 3 2
"410" "what" "you" "want" "to" 0 3 2
"411" "will" "be" "at" "the" 0 3 3
"412" "had" "a" "heart" "attack" 0 2 2
"413" "with" "the" "kid" "and" 0 3 2
"414" "you" "for" "your" "support" 0 3 5
"415" "you" "just" "have" "to" 0 3 3
"416" "you" "would" "like" "to" 0 3 3
"417" "have" "to" "be" "a" 0 2 2
"418" "he" "want" "to" "do" 0 2 2
"419" "a" "veri" "long" "time" 0 2 2
"420" "i" "cant" "think" "of" 0 2 2
"421" "i" "feel" "like" "ive" 0 2 3
"422" "and" "i" "love" "it" 0 2 2
"423" "and" "i" "still" "dont" 0 2 2
"424" "and" "now" "i" "am" 0 2 2
"425" "i" "need" "to" "get" 0 2 10
"426" "and" "then" "go" "to" 0 2 2
"427" "i" "thought" "this" "was" 0 2 3
"428" "and" "you" "will" "be" 0 2 4
"429" "i" "want" "to" "meet" 0 2 2
"430" "are" "you" "talk" "about" 0 2 2
"431" "i" "wish" "i" "had" 0 2 4
"432" "as" "far" "as" "i" 0 2 2
"433" "as" "much" "as" "you" 0 2 2
"434" "if" "you" "have" "ani" 0 2 3
"435" "ask" "me" "if" "i" 0 2 4
"436" "at" "least" "an" "hour" 0 2 2
"437" "im" "realli" "look" "forward" 0 2 2
"438" "brought" "to" "you" "by" 0 2 4
"439" "but" "i" "have" "to" 0 2 4
"440" "cant" "get" "enough" "of" 0 2 2
"441" "cant" "wait" "to" "get" 0 2 2
"442" "cant" "wait" "to" "see" 0 2 28
"443" "it" "come" "to" "the" 0 2 4
"444" "day" "of" "the" "year" 0 2 2
"445" "do" "what" "i" "want" 0 2 2
"446" "do" "you" "think" "i" 0 2 4
"447" "do" "you" "want" "to" 0 2 3
"448" "dont" "know" "if" "it" 0 2 2
"449" "for" "a" "littl" "while" 0 2 2
"450" "made" "it" "to" "the" 0 2 2
"451" "make" "me" "feel" "better" 0 2 2
"452" "there" "is" "a" "new" 0 2 2
"453" "there" "were" "so" "mani" 0 2 3
"454" "me" "know" "what" "you" 0 2 3
"455" "happi" "new" "year" "to" 0 2 5
"456" "has" "to" "be" "the" 0 2 2
"457" "have" "a" "great" "week" 0 2 2
"458" "have" "a" "great" "weekend" 0 2 14
"459" "nice" "to" "meet" "you" 0 2 7
"460" "not" "a" "big" "fan" 0 2 2
"461" "have" "to" "go" "to" 0 2 6
"462" "i" "am" "not" "a" 0 2 2
"463" "i" "cant" "seem" "to" 0 2 2
"464" "i" "cant" "wait" "until" 0 2 4
"465" "i" "couldnt" "make" "it" 0 2 3
"466" "i" "dont" "care" "if" 0 2 2
"467" "i" "dont" "have" "the" 0 2 3
"468" "on" "the" "way" "home" 0 2 3
"469" "i" "go" "back" "to" 0 2 2
"470" "i" "go" "to" "the" 0 2 3
"471" "i" "have" "a" "good" 0 2 2
"472" "i" "have" "learn" "to" 0 2 2
"473" "i" "have" "yet" "to" 0 2 3
"474" "i" "hope" "you" "all" 0 2 2
"475" "i" "hope" "you" "have" 0 2 2
"476" "i" "just" "have" "to" 0 2 3
"477" "i" "look" "like" "a" 0 2 3
"478" "i" "still" "dont" "have" 0 2 3
"479" "realli" "look" "forward" "to" 0 2 5
"480" "i" "think" "i" "have" 0 2 6
"481" "i" "think" "i" "will" 0 2 2
"482" "i" "think" "it" "time" 0 2 2
"483" "i" "went" "to" "bed" 0 2 2
"484" "i" "wonder" "if" "i" 0 2 2
"485" "if" "i" "want" "to" 0 2 3
"486" "if" "we" "want" "to" 0 2 2
"487" "if" "you" "are" "not" 0 2 2
"488" "if" "you" "had" "to" 0 2 2
"489" "if" "you" "havent" "alreadi" 0 2 2
"490" "if" "your" "look" "for" 0 2 2
"491" "im" "go" "to" "have" 0 2 2
"492" "im" "not" "tri" "to" 0 2 3
"493" "im" "still" "tri" "to" 0 2 2
"494" "in" "high" "school" "and" 0 2 2
"495" "in" "love" "with" "you" 0 2 2
"496" "in" "the" "same" "room" 0 2 2
"497" "is" "a" "part" "of" 0 2 3
"498" "is" "by" "far" "the" 0 2 2
"499" "think" "a" "lot" "about" 0 2 2
"500" "it" "all" "the" "time" 0 2 2
"501" "it" "had" "to" "be" 0 2 2
"502" "you" "want" "to" "see" 0 2 2
"503" "new" "year" "to" "you" 0 2 3
"504" "it" "make" "me" "feel" 0 2 2
"505" "it" "need" "to" "be" 0 2 2
"506" "it" "seem" "like" "a" 0 2 2
"507" "it" "was" "a" "beauti" 0 2 2
"508" "it" "was" "a" "littl" 0 2 2
"509" "it" "was" "great" "to" 0 2 2
"510" "just" "a" "matter" "of" 0 2 2
"511" "just" "want" "to" "say" 0 2 2
"512" "keep" "track" "of" "all" 0 2 2
"513" "know" "a" "lot" "of" 0 2 2
"514" "know" "how" "much" "i" 0 2 2
"515" "know" "what" "it" "like" 0 2 2
"516" "know" "what" "to" "expect" 0 2 2
"517" "know" "what" "you" "think" 0 2 4
"518" "let" "me" "know" "what" 0 2 4
"519" "like" "a" "lot" "of" 0 2 2
"520" "like" "i" "need" "to" 0 2 3
"521" "there" "should" "be" "a" 0 2 2
"522" "this" "is" "a" "good" 0 2 4
"523" "to" "be" "proud" "of" 0 2 2
"524" "see" "what" "all" "the" 0 2 2
"525" "to" "be" "the" "most" 0 2 3
"526" "to" "check" "out" "the" 0 2 3
"527" "now" "i" "have" "to" 0 2 2
"528" "to" "figur" "out" "what" 0 2 4
"529" "to" "me" "at" "the" 0 2 3
"530" "to" "sit" "in" "the" 0 2 2
"531" "wish" "i" "could" "be" 0 2 5
"532" "or" "is" "it" "just" 0 2 2
"533" "out" "of" "my" "head" 0 2 2
"534" "over" "and" "over" "again" 0 2 2
"535" "over" "the" "past" "year" 0 2 2
"536" "pleas" "let" "me" "know" 0 2 3
"537" "want" "to" "learn" "more" 0 2 3
"538" "the" "exact" "same" "thing" 0 2 2
"539" "we" "were" "suppos" "to" 0 2 2
"540" "so" "happi" "to" "have" 0 2 2
"541" "the" "onli" "way" "to" 0 2 4
"542" "what" "can" "i" "say" 0 2 4
"543" "so" "much" "to" "me" 0 2 3
"544" "so" "what" "do" "you" 0 2 2
"545" "when" "i" "think" "of" 0 2 2
"546" "thank" "for" "all" "your" 0 2 2
"547" "thank" "so" "much" "for" 0 2 9
"548" "thank" "you" "for" "all" 0 2 5
"549" "with" "a" "glass" "of" 0 2 2
"550" "tri" "to" "fix" "it" 0 2 2
"551" "work" "so" "hard" "to" 0 2 2
"552" "use" "to" "be" "the" 0 2 2
"553" "your" "go" "to" "the" 0 2 2
"554" "to" "go" "on" "a" 0 2 2
"555" "the" "rest" "of" "your" 0 2 3
"556" "to" "tell" "you" "about" 0 2 2
"557" "will" "be" "in" "the" 0 2 3
"558" "tri" "to" "do" "a" 0 2 2
"559" "thing" "i" "need" "to" 0 2 2
"560" "think" "i" "need" "to" 0 2 2
"561" "this" "is" "the" "best" 0 2 4
"562" "want" "to" "show" "you" 0 2 2
"563" "you" "for" "all" "of" 0 2 2
"564" "this" "week" "has" "been" 0 2 2
"565" "time" "for" "me" "to" 0 2 3
"566" "to" "catch" "up" "on" 0 2 2
"567" "to" "get" "to" "know" 0 2 2
"568" "you" "are" "about" "to" 0 2 3
"569" "who" "want" "to" "go" 0 2 2
"570" "want" "to" "talk" "to" 0 2 4
"571" "wont" "be" "abl" "to" 0 2 3
"572" "you" "so" "much" "for" 0 2 7
"573" "was" "tri" "to" "get" 0 2 2
"574" "would" "love" "to" "see" 0 2 4
"575" "up" "to" "me" "and" 0 2 2
"576" "want" "to" "learn" "how" 0 2 2
"577" "what" "did" "you" "think" 0 2 3
"578" "you" "are" "the" "one" 0 2 2
"579" "you" "want" "me" "to" 0 2 3
"580" "from" "hous" "to" "home" 2 0 0
"581" "and" "the" "communiti" "and" 2 0 0
"582" "from" "pm" "to" "pm" 2 0 0
"583" "it" "is" "a" "longer" 2 0 0
"584" "and" "the" "feder" "govern" 2 0 0
"585" "and" "the" "need" "to" 2 0 0
"586" "and" "the" "san" "francisco" 2 0 0
"587" "from" "the" "top" "of" 2 0 0
"588" "and" "the" "thing" "that" 2 0 0
"589" "and" "the" "univers" "of" 2 0 0
"590" "and" "they" "want" "to" 2 0 0
"591" "in" "the" "first" "place" 9 9 0
"592" "and" "this" "is" "where" 2 0 0
"593" "gas" "and" "electr" "co" 2 0 0
"594" "as" "well" "as" "a" 8 3 0
"595" "and" "was" "taken" "to" 2 0 0
"596" "and" "we" "look" "forward" 2 0 0
"597" "the" "top" "of" "the" 8 7 0
"598" "and" "what" "we" "have" 2 0 0
"599" "and" "while" "wait" "for" 2 0 0
"600" "for" "more" "than" "a" 7 2 0
"601" "in" "one" "of" "the" 7 5 0
"602" "in" "the" "first" "half" 7 2 0
"603" "more" "than" "a" "year" 7 2 0
"604" "give" "them" "an" "opportun" 2 0 0
"605" "anyon" "with" "inform" "call" 2 0 0
"606" "was" "one" "of" "the" 7 5 0
"607" "it" "up" "to" "the" 2 0 0
"608" "at" "a" "time" "when" 6 2 0
"609" "at" "the" "time" "of" 6 5 0
"610" "go" "to" "church" "do" 2 0 0
"611" "reach" "an" "agreement" "with" 2 0 0
"612" "go" "to" "do" "the" 2 0 0
"613" "the" "time" "of" "the" 6 4 0
"614" "the" "us" "depart" "of" 6 2 0
